"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_conductor","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud","Latitud"
"2018S001937    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",41507,"Besalú","0039 0039","Divendres","2018",3,"Març","9","16","Desobeir altres senyals","Tarda","431884.15 ","4585208.68","2.18383645007115","41.4136992272727"
"2018S008898    ",10,"Sant Martí",72,"Sant Martí de Provençals",169409,"Corts Catalanes","1029 1031","Dimecres","2018",11,"Novembre","21","11","Altres","Matí","433247.4  ","4585229.34","2.20014456780445","41.4139997997885"
"2018S009342    ",10,"Sant Martí",65,"el Clot",169409,"Corts Catalanes","0823 0833","Dijous","2018",12,"Desembre","6","14","Desobeir semàfor","Tarda","432229.7  ","4584197.87","2.18808402878152","41.4046244050028"
"2018S009051    ",10,"Sant Martí",65,"el Clot",169409,"Corts Catalanes","0823 0833","Dilluns","2018",11,"Novembre","26","16","No determinada","Tarda","432278.76 ","4584102.02","2.18868165090266","41.4037652499740"
"2018S006101    ",10,"Sant Martí",65,"el Clot",169409,"Corts Catalanes","0823 0833","Dimarts","2018",8,"Agost","7","13","No respectat pas de vianants","Matí","432042    ","4583976.74","2.18586348706804","41.4026168931224"
"2018S009391    ",10,"Sant Martí",65,"el Clot",169409,"Corts Catalanes","0823 0833","Diumenge","2018",12,"Desembre","9","11","Desobeir semàfor","Matí","432082.6  ","4584318.82","2.18631073713492","41.4057013403335"
"2018S002070    ",10,"Sant Martí",65,"el Clot",169409,"Corts Catalanes","0823 0833","Dimecres","2018",3,"Març","14","16","No respectar distàncies","Tarda","432229.7  ","4584197.87","2.18808402878152","41.4046244050028"
"2018S005659    ",10,"Sant Martí",65,"el Clot",169409,"Corts Catalanes","0823 0833","Dissabte","2018",7,"Juliol","21","16","Desobeir semàfor","Tarda","432229.7  ","4584197.87","2.18808402878152","41.4046244050028"
"2018S002069    ",10,"Sant Martí",65,"el Clot",169409,"Corts Catalanes","0823 0833","Dimarts","2018",3,"Març","13","20","No determinada","Tarda","432278.76 ","4584102.02","2.18868165090266","41.4037652499740"
"2018S008111    ",10,"Sant Martí",72,"Sant Martí de Provençals",115603,"Espronceda","0232 0232","Dimecres","2018",10,"Octubre","24","17","Desobeir semàfor","Tarda","432884.03 ","4585011.58","2.19582123952779","41.4120082062165"
"2018S001714    ",10,"Sant Martí",72,"Sant Martí de Provençals",153205,"Guipúscoa","0070 0074","Divendres","2018",3,"Març","2","15","No respectar distàncies","Tarda","433066.85 ","4585534.2 ","2.19795063088053","41.4167305551611"
"2018S001456    ",10,"Sant Martí",72,"Sant Martí de Provençals",153205,"Guipúscoa","0037 0037","Divendres","2018",2,"Febrer","23","09","Desconegut","Matí","432836.05 ","4585367.03","2.19520770812661","41.4152056290812"
"2018S003416    ",10,"Sant Martí",72,"Sant Martí de Provençals",60807,"Cantàbria","0031 0031","Dijous","2018",5,"Maig","3","09","Altres","Matí","433366.06 ","4585856.75","2.20149508792770","41.4196605610278"
"2018S001717    ",10,"Sant Martí",65,"el Clot",1604,"Sèquia Comtal","0016 0016","Divendres","2018",3,"Març","2","23","Desobeir semàfor","Nit","432131.07 ","4584631.66","2.18685546165919","41.4085230938487"
"2018S000158    ",10,"Sant Martí",65,"el Clot",1604,"Sèquia Comtal","0016 0016","Dilluns","2018",1,"Gener","8","09","Desobeir semàfor","Matí","432131.07 ","4584631.66","2.18685546165919","41.4085230938487"
"2018S000288    ",10,"Sant Martí",65,"el Clot",209900,"Meridiana","0094 0094","Divendres","2018",1,"Gener","12","15","Manca d'atenció a la conducció","Tarda","432156.43 ","4584510.33","2.18717246718850","41.4074324537628"
"2018S009060    ",10,"Sant Martí",65,"el Clot",209900,"Meridiana","0068 0078","Dimarts","2018",11,"Novembre","27","08","No respectar distàncies","Matí","432127.7  ","4584285.31","2.18685402320398","41.4054033382542"
