"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_conductor","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud","Latitud"
"2019S009428    ",-1,"Desconegut",-1,"Desconegut",-1,"Santa Coloma                                      ","55-71     ","Divendres","2019",12,"Desembre","6","16","Desconegut","Tarda","432727.25 ","4588841.54","2.19351891593626","41.4464903149177"
"2019S003731    ",-1,"Desconegut",-1,"Desconegut",-1,"Vallvidrera a les Planes / Vesc                   ",,"Dimecres","2019",5,"Maig","15","09","Gir indegut o sense precaució","Matí","424364.44 ","4586356.76","2.09372609306753","41.4233662721637"
"2019S004771    ",-1,"Desconegut",-1,"Desconegut",-1,"Josep Tarradellas / Viriat                        ",,"Dimarts","2019",6,"Juny","18","17","Manca precaució incorporació circulació","Tarda","428395.22 ","4581569.25","2.14252486766781","41.3806167355607"
"2019S005061    ",-1,"Desconegut",-1,"Desconegut",-1,"Lepant / Sant Pere                                ",,"Divendres","2019",6,"Juny","28","05","Gir indegut o sense precaució","Nit","430512.83 ","4584971.91","2.16745681141221","41.4114492192814"
"2019S002767    ",-1,"Desconegut",-1,"Desconegut",-1,"Joan XXIII / Arístides Maillol                    ",,"Dilluns","2019",4,"Abril","8","18","Altres","Tarda","426410.27 ","4581606.2 ","2.11878420693220","41.3807702781250"
"2019S007696    ",-1,"Desconegut",-1,"Desconegut",-1,"Brasil                                            ","22        ","Dissabte","2019",10,"Octubre","5","19","Altres","Tarda","427381.48 ","4581160.18","2.13045152385722","41.3768414656997"
"2019S008888    ",-1,"Desconegut",-1,"Desconegut",-1,"Francesc Ferrer i Guàrdia                         ","16-36     ","Diumenge","2019",11,"Novembre","17","19","Canvi de carril sense precaució","Tarda","428901.92 ","4580348.09","2.14872741034352","41.3696631318668"
"2019S007766    ",-1,"Desconegut",-1,"Desconegut",-1,"Vall d'Hebron / Scala Dei                         ",,"Dimarts","2019",10,"Octubre","8","12","Manca d'atenció a la conducció","Matí","429698.26 ","4588071.05","2.15735077762809","41.4392910497758"
"2019S001219    ",-1,"Desconegut",-1,"Desconegut",-1,"Número 3 Zona Franca                              ","50        ","Divendres","2019",2,"Febrer","15","11","No respectar distàncies","Matí","427781.46 ","4576414.5 ","2.13579956340393","41.3341347517594"
"2019S005707    ",-1,"Desconegut",-1,"Desconegut",-1,"Vall d'Hebron                                     ","231       ","Dijous","2019",7,"Juliol","18","14","Manca d'atenció a la conducció","Tarda","429578.92 ","4588090.74","2.15592010858117","41.4394579224731"
"2019S005950    ",-1,"Desconegut",-1,"Desconegut",-1,"Mar                                               ","7         ","Divendres","2019",7,"Juliol","26","20","Altres","Tarda","432333.06 ","4580916.09","2.18968744238211","41.3750750018235"
"2019S005983    ",-1,"Desconegut",-1,"Desconegut",-1,"Ildefons Cerdà                                    ","1-2       ","Diumenge","2019",7,"Juliol","28","16","Manca d'atenció a la conducció","Tarda","427857.42 ","4579829.56","2.13630099498745","41.3648998956339"
"2019S006759    ",-1,"Desconegut",-1,"Desconegut",-1,"Tiana / Clariana                                  ",,"Dissabte","2019",8,"Agost","31","12","Altres","Matí","433354.76 ","4588940.76","2.20101949141996","41.4474363475048"
"2019S008269    ",-1,"Desconegut",-1,"Desconegut",-1,"A Zona Franca / Número 3 Zona Franca              ",,"Divendres","2019",10,"Octubre","25","16","Canvi de carril sense precaució","Tarda","428020.43 ","4576283.26","2.13867072493585","41.3329741092914"
"2019S009603    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",346402,"Trinxant","0014 0014","Divendres","2019",12,"Desembre","13","13","Gir indegut o sense precaució","Matí","432139.36 ","4585186.75","2.18689232658320","41.4135233204685"
"2019S008478    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",209900,"Meridiana","0165 0165","Diumenge","2019",11,"Novembre","3","14","Canvi de carril sense precaució","Tarda","432111.83 ","4585084.31","2.18657445486644","41.4125983479005"
"2019S005230    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",224802,"Nació","0030 0030","Dimecres","2019",7,"Juliol","3","13","Desobeir altres senyals","Matí","431998.91 ","4585133.19","2.18521796780629","41.4130290398016"
"2019S000701    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",346402,"Trinxant","0112 0112","Dissabte","2019",1,"Gener","26","13","Gir indegut o sense precaució","Matí","431837.48 ","4585501.88","2.18324500955059","41.4163360253212"
"2019S000253    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161407,"Indústria","0336 0336","Divendres","2019",1,"Gener","11","10","Altres","Matí","431894.47 ","4585568.41","2.18391938605577","41.4169400760870"
"2019S008754    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161407,"Indústria","0288 0288","Dilluns","2019",11,"Novembre","11","21","Gir indegut o sense precaució","Tarda","431634.8  ","4585306.27","2.18084211174059","41.4145569968141"
"2019S008967    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",297001,"Sant Antoni Maria Claret","0362 0364","Dimarts","2019",11,"Novembre","5","19","No determinada","Tarda","431707.87 ","4585529.19","2.18169116666126","41.4165709833009"
"2019S000672    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",194406,"Maragall","0029 0031","Divendres","2019",1,"Gener","25","08","No respectat pas de vianants","Matí","431634.8  ","4585306.27","2.18084211174059","41.4145569968141"
"2019S009809    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",90502,"Còrsega","0673 0673","Divendres","2019",12,"Desembre","20","08","Gir indegut o sense precaució","Matí","431466.56 ","4584937.05","2.17887107228739","41.4112172101638"
"2019S002309    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161101,"Independència","0343 0343","Diumenge","2019",3,"Març","24","23","Gir indegut o sense precaució","Nit","431534.52 ","4584869.33","2.17969180481764","41.4106130751375"
"2019S007184    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",209900,"Meridiana","0117B0117B","Dimecres","2019",9,"Setembre","18","07","Desobeir semàfor","Matí","432131.07 ","4584631.66","2.18685546165919","41.4085230938487"
"2019S001580    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",209900,"Meridiana","0117B0117B","Dimecres","2019",2,"Febrer","27","19","Desobeir altres senyals","Tarda","432131.07 ","4584631.66","2.18685546165919","41.4085230938487"
"2019S004780    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",350308,"València","0613 0613","Dimarts","2019",6,"Juny","18","14","Manca d'atenció a la conducció","Tarda","432056.99 ","4584778.47","2.18595271648834","41.4098391027740"
"2019S004402    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161101,"Independència","0252 0252","Dimecres","2019",6,"Juny","5","10","Desobeir altres senyals","Matí","431934.16 ","4584454.66","2.18451968042250","41.4069122437300"
"2019S005028    ",10,"Sant Martí",65,"el Clot",113506,"Escultors Claperós","0048X0048X","Divendres","2019",6,"Juny","21","18","No respectar distàncies","Tarda","432354.21 ","4584318.7 ","2.18955998345494","41.4057231818704"
"2019S005083    ",10,"Sant Martí",65,"el Clot",81603,"Clot","0093 0093","Divendres","2019",6,"Juny","28","10","Manca d'atenció a la conducció","Matí","432306.95 ","4584724.8 ","2.18894915216785","41.4093768227036"
"2019S004084    ",10,"Sant Martí",72,"Sant Martí de Provençals",322608,"Selva de Mar","0235B0235B","Dilluns","2019",5,"Maig","27","08","Gir indegut o sense precaució","Matí","433083.45 ","4585580.97","2.19814406971225","41.4171531827829"
"2019S001100    ",10,"Sant Martí",65,"el Clot",92701,"Corunya","0008 0008","Dilluns","2019",2,"Febrer","11","16","Gir indegut o sense precaució","Tarda","432036.44 ","4584552.59","2.18573225593732","41.4078029314998"
"2019S000266    ",10,"Sant Martí",65,"el Clot",169409,"Corts Catalanes","0823 0833","Divendres","2019",1,"Gener","11","15","Desobeir semàfor","Tarda","432042    ","4583976.74","2.18586348706804","41.4026168931224"
"2019S002106    ",10,"Sant Martí",65,"el Clot",169409,"Corts Catalanes","0823 0833","Dilluns","2019",3,"Març","18","17","No respectar distàncies","Tarda","432079.02 ","4583894.14","2.18631560736401","41.4018760703415"
"2019S007603    ",10,"Sant Martí",65,"el Clot",169409,"Corts Catalanes","0823 0833","Dijous","2019",10,"Octubre","3","10","Altres","Matí","432042    ","4583976.74","2.18586348706804","41.4026168931224"
"2019S003245    ",10,"Sant Martí",65,"el Clot",169409,"Corts Catalanes","0823 0833","Diumenge","2019",4,"Abril","28","10","Manca d'atenció a la conducció","Matí","432278.76 ","4584102.02","2.18868165090266","41.4037652499740"
"2019S008327    ",10,"Sant Martí",72,"Sant Martí de Provençals",30409,"Bac de Roda","0193 0199","Dilluns","2019",10,"Octubre","28","08","No respectar distàncies","Matí","432847.49 ","4585262.44","2.19535620393441","41.4142645744681"
"2019S009910    ",10,"Sant Martí",72,"Sant Martí de Provençals",208205,"Menorca","0019 0019","Dilluns","2019",12,"Desembre","23","19","No determinada","Tarda","432946.08 ","4585835.13","2.19647223724923","41.4194308650181"
"2019S003760    ",10,"Sant Martí",65,"el Clot",209900,"Meridiana","0068 0078","Dijous","2019",5,"Maig","16","07","Desobeir semàfor","Matí","432127.7  ","4584285.31","2.18685402320398","41.4054033382542"
"2019S002016    ",10,"Sant Martí",72,"Sant Martí de Provençals",30409,"Bac de Roda","0165 0169","Dijous","2019",3,"Març","14","19","Manca d'atenció a la conducció","Tarda","433011.99 ","4585093.22","2.19734311113370","41.4127541997928"
"2019S004856    ",10,"Sant Martí",72,"Sant Martí de Provençals",153205,"Guipúscoa","0101 0101","Dijous","2019",6,"Juny","20","20","Manca d'atenció a la conducció","Tarda","433366.06 ","4585856.75","2.20149508792770","41.4196605610278"
"2019S008563    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",103808,"Doctor Serrat","0001 0002","Dimarts","2019",11,"Novembre","5","16","Desobeir semàfor","Tarda","432110.24 ","4584903.32","2.18657575837725","41.4109680921869"
"2019S003330    ",10,"Sant Martí",65,"el Clot",217104,"Muntanya","0036 0036","Dimarts","2019",4,"Abril","30","23","Canvi de carril sense precaució","Nit","432161.23 ","4584893.74","2.18718686876707","41.4108861173480"
"2019S000030    ",10,"Sant Martí",65,"el Clot",350308,"València","0671 0671","Dimecres","2019",1,"Gener","2","13","Manca precaució incorporació circulació","Matí","432411.1  ","4585107.29","2.19015239010841","41.4128305685902"
"2019S007309    ",10,"Sant Martí",72,"Sant Martí de Provençals",158504,"Huelva","0043 0045","Diumenge","2019",9,"Setembre","22","05","Desobeir altres senyals","Nit","432842.52 ","4585531.47","2.19526684663895","41.4166872329273"
"2019S007337    ",10,"Sant Martí",72,"Sant Martí de Provençals",158504,"Huelva","0043 0045","Dilluns","2019",9,"Setembre","23","22","Desobeir altres senyals","Nit","432842.52 ","4585531.47","2.19526684663895","41.4166872329273"
"2019S007892    ",10,"Sant Martí",65,"el Clot",81603,"Clot","0165 0165","Divendres","2019",10,"Octubre","11","17","Altres","Tarda","432411.1  ","4585107.29","2.19015239010841","41.4128305685902"
"2019S007801    ",10,"Sant Martí",65,"el Clot",191204,"Mallorca","0639 0639","Dimecres","2019",10,"Octubre","9","11","No respectar distàncies","Matí","432281.69 ","4585151.13","2.18859919533032","41.4132145185290"
"2019S009438    ",10,"Sant Martí",65,"el Clot",209900,"Meridiana","0190 0192","Dissabte","2019",12,"Desembre","7","01","Manca d'atenció a la conducció","Nit","432163.83 ","4585131.61","2.18719128101074","41.4130287592216"
"2019S002847    ",10,"Sant Martí",65,"el Clot",209900,"Meridiana","0198 0198","Dimecres","2019",4,"Abril","10","20","Desobeir semàfor","Tarda","432140.24 ","4585237.32","2.18689717773301","41.4139788631651"
"2019S000623    ",10,"Sant Martí",65,"el Clot",42306,"Bilbao","0235 0235","Dimecres","2019",1,"Gener","23","20","Gir indegut o sense precaució","Tarda","432597.47 ","4584914.91","2.19240360507058","41.4111135248396"
"2019S005387    ",10,"Sant Martí",65,"el Clot",89004,"Consell de Cent","0606B0606B","Dilluns","2019",7,"Juliol","8","12","No cedir la dreta","Matí","432028.36 ","4584359.69","2.18565727780754","41.4060648556145"
"2019S002779    ",10,"Sant Martí",65,"el Clot",350308,"València","0634 0634","Dilluns","2019",4,"Abril","8","19","Altres","Tarda","432258.12 ","4584944.41","2.18834036439364","41.4113506662103"
"2019S009776    ",10,"Sant Martí",65,"el Clot",153205,"Guipúscoa","0009 0009","Dijous","2019",12,"Desembre","19","11","Altres","Matí","432641.99 ","4585177.46","2.19290698016107","41.4134819711840"
"2019S000726    ",10,"Sant Martí",65,"el Clot",180401,"Lope de Vega","0303X0303X","Diumenge","2019",1,"Gener","27","23","Desobeir semàfor","Nit","432598.83 ","4585106.46","2.19239851796563","41.4128388733854"
"2019S005590    ",10,"Sant Martí",65,"el Clot",105304,"Dos de Maig","0208 0208","Dilluns","2019",7,"Juliol","15","11","Desobeir altres senyals","Matí","431837.23 ","4584359.62","2.18337081380528","41.4060480267621"
"2019S000643    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",350308,"València","0604B0606","Dijous","2019",1,"Gener","24","09","Canvi de carril sense precaució","Matí","432044.03 ","4584734.12","2.18580265320358","41.4094385592718"
"2019S008457    ",10,"Sant Martí",70,"el Besòs i el Maresme",8705,"Alfons el Magnànim","0014 0014","Dissabte","2019",11,"Novembre","2","08","Desobeir semàfor","Matí","434589.34 ","4585306.37","2.21619180731807","41.4148040366817"
"2019S008953    ",10,"Sant Martí",65,"el Clot",18505,"Aragó","0659X0659X","Dimecres","2019",11,"Novembre","20","08","No determinada","Matí","432504.38 ","4585011.18","2.19127914006278","41.4119727809409"
"2019S005104    ",10,"Sant Martí",70,"el Besòs i el Maresme",701612,"Fòrum","0002 0002","Dissabte","2019",6,"Juny","29","03","Altres","Nit","435063.16 ","4584821.23","2.22191300468217","41.4104729560000"
"2019S003850    ",10,"Sant Martí",73,"la Verneda i la Pau",266405,"Prim","0210B0210B","Dissabte","2019",5,"Maig","18","20","Manca d'atenció a la conducció","Tarda","433571.48 ","4586265.7 ","2.20390807147291","41.4233608824944"
"2019S009640    ",10,"Sant Martí",65,"el Clot",169409,"Corts Catalanes","0857 0857","Dissabte","2019",12,"Desembre","14","13","No respectar distàncies","Matí","432495.02 ","4584384.63","2.19123711512974","41.4063288418438"
"2019S002688    ",10,"Sant Martí",65,"el Clot",209900,"Meridiana","0144 0144","Divendres","2019",4,"Abril","5","20","No determinada","Tarda","432134.81 ","4584834.86","2.18687739482471","41.4103535707289"
"2019S004513    ",10,"Sant Martí",70,"el Besòs i el Maresme",700654,"Litoral","0101 0101","Dissabte","2019",6,"Juny","8","11","Manca d'atenció a la conducció","Matí","435077.29 ","4584651.41","2.22210029101911","41.4089445682870"
"2019S008945    ",10,"Sant Martí",70,"el Besòs i el Maresme",701265,"Litoral (Besòs)","000560000","Dimarts","2019",11,"Novembre","19","18","Canvi de carril sense precaució","Tarda","434994.58 ","4584632.43","2.22111282646542","41.4087669286063"
"2019S009616    ",10,"Sant Martí",73,"la Verneda i la Pau",195409,"Maresme","0234 0236","Divendres","2019",12,"Desembre","13","17","Manca d'atenció a la conducció","Tarda","433637.48 ","4585977.08","2.20472953933561","41.4207668235685"
"2019S001463    ",10,"Sant Martí",73,"la Verneda i la Pau",266405,"Prim","0147 0149","Dissabte","2019",2,"Febrer","23","20","Manca d'atenció a la conducció","Tarda","433697.6  ","4586047.37","2.20544120241735","41.4214048739234"
"2019S007662    ",10,"Sant Martí",73,"la Verneda i la Pau",266405,"Prim","0155 0157","Divendres","2019",10,"Octubre","4","17","Canvi de carril sense precaució","Tarda","433670.93 ","4586074.73","2.20511907111901","41.4216490943600"
"2019S004498    ",10,"Sant Martí",73,"la Verneda i la Pau",208205,"Menorca","0065X0065X","Divendres","2019",6,"Juny","7","22","Manca precaució efectuar marxa enrera","Nit","433515.21 ","4586131.95","2.20324945511232","41.4221515757297"
"2019S002667    ",10,"Sant Martí",73,"la Verneda i la Pau",318906,"Santander","0043 0047","Divendres","2019",4,"Abril","5","11","Manca d'atenció a la conducció","Matí","433294.25 ","4586607.45","2.20055296126593","41.4264159312562"
"2019S002816    ",10,"Sant Martí",73,"la Verneda i la Pau",318906,"Santander","0049 0051","Dimarts","2019",4,"Abril","9","17","Desobeir altres senyals","Tarda","433358.94 ","4586671.61","2.20132000853559","41.4269991754286"
"2019S003582    ",10,"Sant Martí",73,"la Verneda i la Pau",318906,"Santander","0063 0063","Divendres","2019",5,"Maig","10","08","Gir indegut o sense precaució","Matí","433501.25 ","4586845.07","2.20300390798659","41.4285732827216"
"2019S009841    ",10,"Sant Martí",73,"la Verneda i la Pau",268604,"Pont del Treball Digne","0008 0010","Dissabte","2019",12,"Desembre","21","06","Altres","Matí","432986.99 ","4586156.24","2.19692612797049","41.4223264230201"
"2019S007831    ",10,"Sant Martí",73,"la Verneda i la Pau",208205,"Menorca","0051 0051","Dimecres","2019",10,"Octubre","9","23","Desobeir altres senyals","Nit","433331.57 ","4586193.84","2.20104520438412","41.4226937692203"
