"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_conductor","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud","Latitud"
"2020S006254    ",-1,"Desconegut",-1,"Desconegut",-1,"Corts / Arístides Maillol                         ",,"Dimecres","2020",12,"Desembre","30","09","Manca precaució efectuar marxa enrera","Matí","426626.85 ","4581292.09","2.12251256792347","41.3798072182496"
"2020S001630    ",-1,"Desconegut",-1,"Desconegut",-1,"Corts Catalanes / Castillejos                     ",,"Dimecres","2020",3,"Març","4","14","No respectar distàncies","Tarda","431937.47 ","4583875.38","2.18572687817742","41.4035409224891"
"2020S001281    ",-1,"Desconegut",-1,"Desconegut",-1,"Corts Catalanes                                   ","871       ","Dimecres","2020",2,"Febrer","19","22","Desobeir semàfor","Nit","432561.42 ","4584522.58","2.19311873803974","41.4094226443517"
"2020S001227    ",-1,"Desconegut",-1,"Desconegut",-1,"A Zona Franca / Número 3 Zona Franca              ",,"Dimarts","2020",2,"Febrer","18","10","Manca d'atenció a la conducció","Matí","428020.43 ","4576283.26","2.13977114397879","41.3348202617433"
"2020S002367    ",-1,"Desconegut",-1,"Desconegut",-1,"Molins de Rei                                     ","K60       ","Dissabte","2020",5,"Maig","30","12","Altres","Matí","422891.03 ","4584730.23","2.07740261582518","41.4104233155153"
"2020S003321    ",-1,"Desconegut",-1,"Desconegut",-1,"Antonio López / Laietana                          ",,"Dimecres","2020",7,"Juliol","22","07","No determinada","Matí","431670.89 ","4581662.45","2.18278760947717","41.3835871061881"
"2020S003321    ",-1,"Desconegut",-1,"Desconegut",-1,"Antonio López / Laietana                          ",,"Dimecres","2020",7,"Juliol","22","07","Gir indegut o sense precaució","Matí","431670.89 ","4581662.45","2.18278760947717","41.3835871061881"
"2020S001168    ",-1,"Desconegut",-1,"Desconegut",-1,"Número 3 Zona Franca / A Zona Franca              ",,"Diumenge","2020",2,"Febrer","16","06","Canvi de carril sense precaució","Matí","428020.43 ","4576283.26","2.13977114397879","41.3348202617433"
"2020S005723    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161101,"Independència","0340 0340","Dimecres","2020",12,"Desembre","2","13","Altres","Matí","431461.53 ","4584551.41","2.17995692020787","41.4095892721141"
"2020S000847    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",90502,"Còrsega","0703 0703","Dimarts","2020",2,"Febrer","4","06","Manca d'atenció a la conducció","Matí","431597.1  ","4585085.49","2.18151843749033","41.4144111039125"
"2020S003120    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161101,"Independència","0377 0377","Dilluns","2020",7,"Juliol","13","14","Desobeir semàfor","Tarda","431372.38 ","4585035.95","2.17883541277121","41.4139457552358"
"2020S001193    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",289105,"Rosselló","0538 0538","Dilluns","2020",2,"Febrer","17","07","Desobeir altres senyals","Matí","431636.55 ","4584898.98","2.18201150930014","41.4127346267177"
"2020S000174    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",134801,"Freser","0002 0002","Dijous","2020",1,"Gener","9","20","Desobeir semàfor","Tarda","431534.52 ","4584869.33","2.18079416567312","41.4124588936576"
"2020S006192    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161101,"Independència","0357 0357","Dijous","2020",12,"Desembre","24","16","Altres","Tarda","431466.56 ","4584937.05","2.17997341701321","41.4130630328963"
"2020S002380    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161101,"Independència","0305 0305","Dilluns","2020",6,"Juny","1","16","Altres","Tarda","431748.64 ","4584647.26","2.18338096207684","41.4104769929213"
"2020S002380    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161101,"Independència","0305 0305","Dilluns","2020",6,"Juny","1","16","Manca d'atenció a la conducció","Tarda","431748.64 ","4584647.26","2.18338096207684","41.4104769929213"
"2020S004818    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",191204,"Mallorca","0520 0520","Dimecres","2020",10,"Octubre","14","17","Manca d'atenció a la conducció","Tarda","431675.48 ","4584557.86","2.18251579168637","41.4096655802629"
"2020S000359    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",209900,"Meridiana","0117B0117B","Dijous","2020",1,"Gener","16","17","Altres","Tarda","432131.07 ","4584631.66","2.18795799690927","41.4103688718988"
