"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_causa_mediata","Descripcio_torn","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud","Latitud"
"2021S002826    ",8,"Nou Barris",48,"la Guineueta",120807,"Favència","0136 0142","Divendres","2021",5,"Maig","28","17","Altres","Tarda","430628.82","4588341.70","2.168457425","41.441807016"
"2021S002027    ",8,"Nou Barris",51,"Verdun",120807,"Favència","0232 0236","Diumenge","2021",4,"Abril","18","19","Manca precaució incorporació circulació","Tarda","431139.44","4588613.12","2.174538309","41.444295575"
"2021S000020    ",8,"Nou Barris",48,"la Guineueta",356905,"Verdum","0011 0017","Dissabte","2021",1,"Gener","2","20","No respectat pas de vianants","Tarda","430961.39","4587723.61","2.172508767","41.436268794"
"2021S005690    ",8,"Nou Barris",50,"les Roquetes",120807,"Favència","0139X0139X","Dilluns","2021",10,"Octubre","11","17","No respectar distàncies","Tarda","430921.02","4588570.96","2.171928666","41.443897081"
"2021S001243    ",8,"Nou Barris",48,"la Guineueta",11583,"Alsàcia","0001 0001","Dijous","2021",3,"Març","11","18","Manca d'atenció a la conducció","Tarda","430831.82","4587884.64","2.170939575","41.437707975"
"2021S006437    ",8,"Nou Barris",48,"la Guineueta",351901,"Valldaura","0210 0212","Dimecres","2021",11,"Novembre","10","21","Desobeir semàfor","Tarda","430967.88","4587961.69","2.172559228","41.43841365"
"2021S007608    ",8,"Nou Barris",48,"la Guineueta",356905,"Verdum","0057B0057B","Dimarts","2021",12,"Desembre","28","14","Gir indegut o sense precaució","Tarda","431070.11","4587867.17","2.17379359","41.437571131"
"2021S004039    ",8,"Nou Barris",53,"la Trinitat Nova",260307,"Platja d'Aro","0001X0003X","Dilluns","2021",7,"Juliol","19","08","No determinada","Matí","432261.11","4589090.78","2.187911031","41.448693173"
"2021S004165    ",8,"Nou Barris",50,"les Roquetes",120807,"Favència","0213 0213","Divendres","2021",7,"Juliol","23","20","Desconegut","Tarda","431304.90","4588757.29","2.176502446","41.445608243"
"2021S003169    ",8,"Nou Barris",53,"la Trinitat Nova",701267,"Dalt (Besòs)","001490000","Dissabte","2021",6,"Juny","12","15","Gir indegut o sense precaució","Tarda","431621.76","4588830.68","2.180287","41.446296308"
"2021S005987    ",8,"Nou Barris",50,"les Roquetes",701267,"Dalt (Besòs)","001450000","Dissabte","2021",10,"Octubre","23","17","Canvi de carril sense precaució","Tarda","431243.16","4588705.76","2.175769277","41.445138844"
"2021S003262    ",8,"Nou Barris",53,"la Trinitat Nova",4409,"Aiguablava","0071 0071","Dimecres","2021",6,"Juny","16","00","Manca d'atenció a la conducció","Nit","431945.36","4589260.97","2.184112076","41.450199288"
"2021S003866    ",8,"Nou Barris",53,"la Trinitat Nova",291402,"Sa Tuna","0012 0012","Dilluns","2021",7,"Juliol","12","00","Desobeir altres senyals","Nit","432174.37","4589501.08","2.186826576","41.452381267"
"2021S004599    ",8,"Nou Barris",52,"la Prosperitat",336409,"Tissó","0054 0054","Dijous","2021",8,"Agost","19","09","Desobeir altres senyals","Matí","431713.74","4588588.72","2.181415398","41.444124896"
"2021S002528    ",8,"Nou Barris",53,"la Trinitat Nova",120807,"Favència","0381X0381X","Divendres","2021",5,"Maig","14","15","No respectar distàncies","Tarda","432191.40","4588916.54","2.187096123","41.447117966"
"2021S000296    ",8,"Nou Barris",50,"les Roquetes",7203,"Alcántara","0025 0029","Dimarts","2021",1,"Gener","19","21","No respectat pas de vianants","Tarda","430967.11","4588790.36","2.172455267","41.445877099"
"2021S000049    ",8,"Nou Barris",52,"la Prosperitat",127205,"Flor de Neu","0069 0069","Dilluns","2021",1,"Gener","4","14","No determinada","Tarda","431825.93","4588711.29","2.18274446","41.445238381"
"2021S006386    ",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",258509,"Pitàgores","0041U0045U","Dimarts","2021",11,"Novembre","9","06","Avançament defectuós/improcedent","Matí","430479.63","4586943.40","2.166832653","41.429200153"
"2021S003196    ",8,"Nou Barris",52,"la Prosperitat",174307,"Júlia","0134 0134","Diumenge","2021",6,"Juny","13","16","Desconegut","Tarda","431505.35","4588560.45","2.178924198","41.443852516"
"2021S005184    ",8,"Nou Barris",52,"la Prosperitat",209900,"Meridiana","0529 0529","Dissabte","2021",9,"Setembre","18","18","Desobeir semàfor","Tarda","432100.65","4588569.31","2.186048859","41.443982913"
"2021S006467    ",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",194406,"Maragall","0370 0370","Divendres","2021",11,"Novembre","12","04","No determinada","Nit","430256.23","4586815.66","2.164173946","41.42803027"
